precinctlistv02
9060
	nb	sp	unshared	area	pop	voteA	voteB	congD18	county
0	3,8839,2	0.0152808673404,0.00587985625377,0.0154964477646	0	4.11518E-05	47	4	10	13	Adams
1	8957,8844,5,7,45,3,2,8839	0.0026898187646,0.0502972309717,0.00300042231664,0.0392377107353,0.00849106136653,0.0335319547137,0.0313961792181,0.0417844951239	0	0.002069782	2342	187	508	13	Adams
2	1,3,0,8839	0.0313961792181,0.00262896887838,0.0154964477646,0.00973944193608	0	0.000151207	1011	85	169	13	Adams
3	23,8839,0,2,1,45,6,24	0.0181523211198,0.0604176434549,0.0152808673404,0.00262896887838,0.0335319547137,0.0452462311966,0.0194361388284,0.190964218503	0	0.00372334	2530	240	650	13	Adams
4	-246,32,31,41,32,34,6,5,8877	0.0440049842497,0.0420654335878,0.00199499197993,0.0290980624212,0.0265522451637,0.0348209138619,0.0245466829462,0.0895512536503,0.0399960149744	0	0.004784275	3148	218	797	13	Adams
5	43,42,8,8841,4,6,7,1,8844,8954,8	0.00622581820379,0.0200531552582,0.030883884431,0.0309889482647,0.0895512536503,0.0431604861669,0.0583611736593,0.00300042231664,0.0118639256478,0.00754849223035,0.0157682959739	0	0.002478962	4271	358	875	13	Adams
6	7,5,4,34,44,14,24,3,45	0.0806293566043,0.0431604861669,0.0245466829462,0.0983467239881,0.0238233647601,0.0504233448198,0.00664791973499,0.0194361388284,0.0479710818854	0	0.002983969	2114	126	363	13	Adams
7	6,45,46,45,1,5	0.0806293566043,0.00869499118493,0.0280231923571,0.0275223420576,0.0392377107353,0.0583611736593	0	0.002032366	2754	178	487	13	Adams
8	43,5,8954,8955,8841,5,42	0.0150875923802,0.0157682959739,0.00708423626615,0.0101647936426,0.00381584690102,0.030883884431,0.0145536147062	0	0.000376353	2814	294	602	13	Adams
9	15,22,19,11,10	0.00988849805354,0.0129897941498,0.00180164689263,0.0220691881403,0.0158290428842	0	0.000158522	3383	333	187	13	Adams
