precinctlistv02
2128
	nb	sp	unshared	area	pop	voteA	voteB	senD	county
0	7,1106,1122,1,2,3	20527.645229,2826.38036403,4137.71954091,13890.2153157,925.112924072,4041.21796322	0	71715021.91	3012	482	529	10	Abbeville
1	0,1094,1125,1085,2	13890.2153157,1232.65585685,10208.8564664,2587.52996019,13900.1398055	0	102576881.9	2937	534	268	10	Abbeville
2	1,1085,1124,1523,1530,12,3,0	13900.1398055,52.2860662858,2937.82994513,292.269117795,6435.83850006,18389.1411496,3273.69847863,925.112924072	0	73332632.43	2283	318	224	10	Abbeville
3	4,7,0,2,12,13	2493.13641455,6466.12652225,4041.21796322,3273.69847863,15717.3760581,5014.07434541	0	54857444.33	1400	200	183	10	Abbeville
4	11,7,3,13,146,174	16534.8924957,4221.26539739,2493.13641455,24005.0524686,4948.33166661,6797.98407585	0	97877217.57	1753	210	276	10	Abbeville
5	10,8,11,143,123,134,1365	11232.922816,10815.3450624,4715.96952152,573.980340993,668.757624979,7338.09381714,3205.84687315	0	38768245.66	817	84	108	4	Abbeville
6	12,1526,-16,13	16314.1657439,11536.6458148,15038.9804685,20056.5539853	0	135165973.4	2720	549	293	10	Abbeville
7	9,1106,0,3,4,11	17084.0023572,4415.41146245,20527.645229,6466.12652225,4221.26539739,5323.42823844	0	98443602.94	1342	174	223	10	Abbeville
8	5,10,1126,1121,9,11	10815.3450624,5690.89176023,249.929183122,5692.51511363,10392.2297417,2408.9448525	0	40882163.13	799	103	128	4	Abbeville
9	8,1121,1106,7,11	10392.2297417,5015.55261215,3969.60538491,17084.0023572,15850.9564354	0	92038328.05	2647	413	299	10	Abbeville
10	1365,1344,1126,8,5	3206.80300213,5909.59168661,5041.97085524,5690.89176023,11232.922816	0	29158888.28	1125	195	165	4	Abbeville
11	8,9,7,4,174,112,143,5	2408.9448525,15850.9564354,5323.42823844,16534.8924957,8263.79229725,6614.38259911,567.18194278,4715.96952152	0	102656549.5	2004	200	208	10	Abbeville
12	3,2,1530,1526,6,13	15717.3760581,18389.1411496,4949.66085509,5885.33291978,16314.1657439,11731.478413	0	131038252.3	1038	166	196	10	Abbeville
13	4,3,12,6,-15,137,146	24005.0524686,5014.07434541,11731.478413,20056.5539853,13329.1296592,6629.34051164,7363.60451584	0	254533507	1540	179	258	10	Abbeville
14	19,20,18,43,87,76,15	406.671147094,1175.88353061,3457.87602157,1013.33913936,758.504695666,3711.91140876,1907.81371339	0	4337206.754	1482	255	421	24	Aiken
15	77,16,17,14,76	2444.62028321,628.144605224,912.210857427,1907.81371339,1476.92473816	0	2127308.41	1849	376	134	26	Aiken
16	70,17,15,77,32	2721.04496664,1747.08436094,628.144605224,1250.84468022,2270.18072709	0	4004089.321	2937	414	140	26	Aiken
17	70,19,15,16	3192.18825962,2403.8891551,912.210857427,1747.08436094	0	2419952.936	1144	257	53	26	Aiken
18	14,20,47,52,43	3457.87602157,4649.89190417,1230.00148398,2317.57588918,5073.99447692	0	6689486.033	1482	217	359	24	Aiken
19	48,47,20,14,17,70	2594.07150651,14.5472189011,2821.79523524,406.671147094,2403.8891551,1232.56267772	0	2812647.442	1709	320	246	26	Aiken
20	19,47,18,14	2821.79523524,3042.55984505,4649.89190417,1175.88353061	0	5236392.449	1528	237	466	24	Aiken
21	72,44,80,78,39	1824.00414577,3376.27726808,2543.51544147,5908.42571523,1170.65566613	0	8933374.653	1402	184	578	24	Aiken
22	51,89,25,27,53	5677.30280459,221.437757664,460.225110666,3218.29205578,4566.03849675	0	10557924.65	2721	323	598	25	Aiken
23	49,69,24,33,51	6302.60885447,2796.55447161,5558.92559382,3069.89779407,2723.13051169	0	14783381.95	1712	199	165	25	Aiken
24	23,42,-30,30,33	5558.92559382,18796.1777202,19392.1804631,4296.09489718,1665.39024272	0	42977760.94	2583	396	303	24	Aiken
25	27,22,89,30,63,28	1660.19136587,460.225110666,2873.86059137,1023.00611862,285.544315977,2009.01172064	0	3028720.934	2266	209	391	25	Aiken
26	27,28,60,65,66,38,53	2930.20086981,1686.45094114,4005.87679665,785.608830764,3343.73796819,2676.32025082,1026.49716628	0	6870561.43	2042	303	277	24	Aiken
27	22,25,28,26,53	3218.29205578,1660.19136587,2085.24276985,2930.20086981,374.096560578	0	4109963.689	1131	73	195	25	Aiken
28	27,25,63,59,60,26	2085.24276985,2009.01172064,1255.91614784,1382.46698327,187.888478493,1686.45094114	0	3246524.023	2771	280	342	24	Aiken
29	84,41,50,53,811	12795.1959202,4524.50050841,5084.74107668,9200.37661456,4005.42794962	0	40616209.45	3031	239	519	25	Aiken
30	25,89,33,24,-29,58,63	1023.00611862,2749.48655404,2292.51679061,4296.09489718,3444.7473082,2357.11580606,2926.61005374	0	12767936.69	2222	309	168	24	Aiken
31	79,55,83,56,83,80	5837.63098982,5698.84088644,4078.0220413,2579.18186177,4034.82763901,1518.35503416	0	16230889.69	1644	258	648	24	Aiken
32	74,70,16,77,41,84,36	6554.77002151,2550.2091966,2270.18072709,4776.32130076,341.443242591,6041.13539003,4266.69222463	0	32193159.2	2832	439	190	26	Aiken
33	23,24,30,89,51	3069.89779407,1665.39024272,2292.51679061,2163.45818321,369.098535678	0	4880410.231	1450	137	181	25	Aiken
34	48,55,79,80,44,72,52,47	1023.7923638,2533.42616435,1891.76227676,1533.92220716,549.150085812,669.255107705,641.328168443,2427.94041076	0	6788976.725	2420	245	539	24	Aiken
35	73,90,55,48,70	9834.05562411,5119.60085789,8769.01072425,805.436450857,6926.45595272	0	47085772.41	2126	244	431	24	Aiken
36	86,74,32,84,811,804	15743.3825017,4724.87591391,4266.69222463,11192.5998615,5087.91891888,7972.19475879	0	101036640.5	2418	193	386	25	Aiken
37	38,66,808,809,53	1877.62697434,576.94418718,1964.0231407,279.639866963,1515.0335402	0	1916892.964	1931	180	491	24	Aiken
38	53,26,66,37	1030.02453798,2676.32025082,2303.07962619,1877.62697434	0	3086019.743	1641	145	519	24	Aiken
39	52,72,21,78,69,87	3675.85949527,1827.86655175,1170.65566613,1488.05829844,3099.03720367,1403.93348604	0	8733543.524	3121	423	1057	24	Aiken
40	87,69,46,50	4727.04679297,2242.19011078,4777.81669024,2485.66965536	0	7015954.899	1908	117	322	24	Aiken
41	76,87,50,29,84,32	3924.75034011,3150.3625533,1415.81767797,4524.50050841,5148.49362998,341.443242591	0	9158015.985	2074	185	310	25	Aiken
42	69,75,45,-31,24	4513.75303235,8574.8664728,12477.2784723,22509.3713256,18796.1777202	0	84304678.57	3019	319	509	24	Aiken
