PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,SenD2011,CongD2021,SenD2021,CongD2021a,SenD2021a,HsD2011,HsD2021,PName,PCode,County,Precinct_P,Pop_of_Pre,Pop_Diff,PD_Percent,Pct_Area,Pct_Perim,County1,Reg_Voters,PresOther,SenOther,Shape_Leng,Shape_Area
0,418,866,421,851,3,10,3,4,3,4,11,11,ABBEVILLE NO. 1,1,1,2101,1125,976,87,37.28646226,34.48957032,ABBEVILLE,1743,10,23,113154.532,401348139.5
1,721,375,740,354,3,10,3,4,3,4,11,11,ABBEVILLE NO. 2,2,1,1638,2401,-763,-32,42.97050043,35.85377462,ABBEVILLE,1693,5,10,117630.2589,462530617.2
2,442,483,450,466,3,10,3,4,3,4,11,11,ABBEVILLE NO. 3,3,1,1661,1752,-91,-5,73.33263237,46.20640838,ABBEVILLE,1427,13,24,151595.5248,789345885.4
3,207,446,214,429,3,10,3,4,3,4,11,11,ABBEVILLE NO. 4,4,1,2012,1038,974,94,54.85744425,37.00570451,ABBEVILLE,929,3,13,121409.5489,590480615.6
4,181,763,187,744,3,10,3,4,3,4,11,11,ANTREVILLE,5,1,1556,1400,156,11,97.78769301,58.94993369,ABBEVILLE,1246,7,19,193404.9074,1052577967
5,85,304,88,298,3,4,3,4,3,4,11,11,BROADMOUTH,6,1,509,799,-290,-36,38.8670756,38.55257616,ABBEVILLE,569,1,5,126484.577,418361719.9
6,661,524,680,503,3,10,3,4,3,4,11,11,CALHOUN FALLS,7,1,1879,1550,329,21,135.1659733,62.94647184,ABBEVILLE,1798,11,8,206516.883,1454914428
7,145,622,159,615,3,10,3,4,3,4,11,11,COLD SPRINGS,8,1,1356,2283,-927,-41,98.44360295,58.03799477,ABBEVILLE,944,11,7,190412.9878,1059638123
8,71,344,77,333,3,4,3,4,3,4,11,11,DONALDS,9,1,1283,2647,-1364,-52,40.88216299,35.24992741,ABBEVILLE,585,7,12,115649.1368,440051940
9,359,758,374,751,3,10,3,4,3,4,11,11,DUE WEST,10,1,2647,1342,1305,97,92.03832803,52.31245056,ABBEVILLE,1609,17,14,171628.4315,990692317.9
10,151,316,149,322,3,4,3,4,3,4,11,11,HALL'S STORE,11,1,1001,857,144,17,29.15888835,31.08224267,ABBEVILLE,707,3,2,101975.6578,313863662
11,178,716,189,703,3,10,3,4,3,4,11,11,KEOWEE,12,1,1579,1156,423,37,102.6617606,60.31040304,ABBEVILLE,1191,10,16,197868.3806,1105041994
12,144,459,148,447,3,10,3,4,3,4,11,11,LEBANON,14,1,1222,1593,-371,-23,131.0382525,72.98730106,ABBEVILLE,800,5,13,239459.1702,1410484011
13,123,722,139,699,3,10,3,4,3,4,11,11,LOWNDESVILLE,13,1,2504,2720,-216,-8,257.1827565,88.40495159,ABBEVILLE,1150,7,14,290041.912,2768292151
14,203,509,204,504,3,10,3,4,3,4,11,11,SMITHVILLE,15,1,1826,2392,-566,-24,94.03494099,44.16816709,ABBEVILLE,905,7,12,144908.3949,1012183681
15,370,616,365,629,2,24,2,24,2,24,81,81,AIKEN NO. 1,1,3,1603,1482,121,8,4.337206629,12.43202435,AIKEN,1420,17,7,40787.39987,46685303.61
16,588,185,598,186,2,26,2,24,2,24,82,82,AIKEN NO. 2,2,3,1587,1849,-262,-14,2.127308476,7.369728574,AIKEN,1376,13,6,24178.85116,22898157.86
17,842,133,861,118,2,26,2,24,2,24,82,82,AIKEN NO. 3,3,3,2900,2937,-37,-1,4.004089275,8.617316579,AIKEN,1976,13,12,28271.97948,43099658.26
18,366,69,372,66,2,26,2,24,2,24,82,82,AIKEN NO. 4,4,3,1072,1144,-72,-6,2.419952929,8.255389712,AIKEN,896,3,4,27084.55775,26048156.54
19,351,461,343,469,2,24,2,24,2,24,81,81,AIKEN NO. 47,47,3,2377,1482,895,60,6.689486034,16.72937263,AIKEN,1261,16,14,54886.28338,72005028.41
20,549,333,548,347,2,26,2,24,2,24,81,82,AIKEN NO. 5,5,3,1104,1709,-605,-35,2.812647434,9.473556078,AIKEN,1469,15,6,31081.15857,30275085.01
21,405,596,397,619,2,24,2,24,2,24,81,81,AIKEN NO. 6,6,3,1484,1528,-44,-3,5.236392481,11.69015365,AIKEN,1434,19,11,38353.44576,56364059.57
