PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
0,418,866,421,851,3,3,10,4,11,11,1922,ABBEVILLE NO. 1,001,001,1125,37.28646226,34.48957032,ABBEVILLE,1743,10,23,113154.532,401348139.5,2348
1,721,375,740,354,3,3,10,4,11,11,1923,ABBEVILLE NO. 2,002,001,2401,42.97050043,35.85377462,ABBEVILLE,1693,5,10,117630.2589,462530617.2,2160
2,442,483,450,466,3,3,10,4,11,11,1916,ABBEVILLE NO. 3,003,001,1752,73.33263237,46.20640838,ABBEVILLE,1427,13,24,151595.5248,789345885.4,2169
3,207,446,214,429,3,3,10,4,11,11,1914,ABBEVILLE NO. 4,004,001,1038,54.85744425,37.00570451,ABBEVILLE,929,3,13,121409.5489,590480615.6,1188
4,181,763,187,744,3,3,10,4,11,11,1915,ANTREVILLE,005,001,1400,97.78769301,58.94993369,ABBEVILLE,1246,7,19,193404.9074,1052577967,1725
5,85,304,88,298,3,3,4,4,11,11,1920,BROADMOUTH,006,001,799,38.8670756,38.55257616,ABBEVILLE,569,1,5,126484.577,418361719.9,730
6,661,524,680,503,3,3,10,4,11,11,1911,CALHOUN FALLS,007,001,1550,135.1659733,62.94647184,ABBEVILLE,1798,11,8,206516.883,1454914428,2347
7,145,622,159,615,3,3,10,4,11,11,1917,COLD SPRINGS,008,001,2283,98.44360295,58.03799477,ABBEVILLE,944,11,7,190412.9878,1059638123,1483
8,71,344,77,333,3,3,4,4,11,11,1919,DONALDS,009,001,2647,40.88216299,35.24992741,ABBEVILLE,585,7,12,115649.1368,440051940,851
9,359,758,374,751,3,3,10,4,11,11,1918,DUE WEST,010,001,1342,92.03832803,52.31245056,ABBEVILLE,1609,17,14,171628.4315,990692317.9,2698
10,151,316,149,322,3,3,4,4,11,11,1921,HALL'S STORE,011,001,857,29.15888835,31.08224267,ABBEVILLE,707,3,2,101975.6578,313863662,1021
11,178,716,189,703,3,3,10,4,11,11,1925,KEOWEE,012,001,1156,102.6617606,60.31040304,ABBEVILLE,1191,10,16,197868.3806,1105041994,1906
12,144,459,148,447,3,3,10,4,11,11,1913,LEBANON,014,001,1593,131.0382525,72.98730106,ABBEVILLE,800,5,13,239459.1702,1410484011,1008
13,123,722,139,699,3,3,10,4,11,11,1912,LOWNDESVILLE,013,001,2720,257.1827565,88.40495159,ABBEVILLE,1150,7,14,290041.912,2768292151,1572
14,203,509,204,504,3,3,10,4,11,11,1924,SMITHVILLE,015,001,2392,94.03494099,44.16816709,ABBEVILLE,905,7,12,144908.3949,1012183681,1089
15,370,616,365,629,2,2,24,24,81,81,276,AIKEN NO. 1,001,003,1482,4.337206629,12.43202435,AIKEN,1420,17,7,40787.39987,46685303.61,1505
16,588,185,598,186,2,2,26,24,82,82,277,AIKEN NO. 2,002,003,1849,2.127308476,7.369728574,AIKEN,1376,13,6,24178.85116,22898157.86,1717
17,842,133,861,118,2,2,26,24,82,82,278,AIKEN NO. 3,003,003,2937,4.004089275,8.617316579,AIKEN,1976,13,12,28271.97948,43099658.26,3160
18,366,69,372,66,2,2,26,24,82,82,279,AIKEN NO. 4,004,003,1144,2.419952929,8.255389712,AIKEN,896,3,4,27084.55775,26048156.54,1087
19,351,461,343,469,2,2,24,24,81,81,330,AIKEN NO. 47,047,003,1482,6.689486034,16.72937263,AIKEN,1261,16,14,54886.28338,72005028.41,1460
20,549,333,548,347,2,2,26,24,81,82,280,AIKEN NO. 5,005,003,1709,2.812647434,9.473556078,AIKEN,1469,15,6,31081.15857,30275085.01,1616
21,405,596,397,619,2,2,24,24,81,81,281,AIKEN NO. 6,006,003,1528,5.236392481,11.69015365,AIKEN,1434,19,11,38353.44576,56364059.57,1387
22,567,1164,531,1213,2,2,24,24,81,81,342,ANDERSON POND NO. 69,069,003,1402,8.93337466,14.82290792,AIKEN,2192,18,12,48631.49039,96158044.56,2136
23,236,476,248,461,2,2,25,25,84,83,354,ASCAUGA LAKE NO. 63,063,003,1506,2.115040748,7.339823015,AIKEN,1089,8,11,24080.73601,22766109.14,1341
