PSN,nb,sp
0,"7,14,1,2,3","0.159102699637832,0.081422043612162,0.056405499636563,0.009487557274725,0.040139565941206"
1,"0,14,1195,1153,2","0.056405499636563,0.134257045735935,0.015274477079208,0.017874089111902,0.134147094293"
2,"0,1,1153,1194,1577,1585,12,3","0.009487557274725,0.134147094293,0.000402761333045,0.029778067337233,0.003154757047751,0.069522611265133,0.179296120639395,0.032299906847941"
3,"0,2,12,13,4,7","0.040139565941206,0.032299906847941,0.158942391565225,0.047960525054633,0.026247120688081,0.065636523151247"
4,"7,3,13,155,186,11","0.041620503426295,0.026247120688081,0.240370227160402,0.050181892665596,0.069213248577406,0.160576551976114"
5,"143,1426,10,8,11,152,132","0.075117115088195,0.031199027571721,0.112339660241461,0.106230724325667,0.044963786030968,0.005720842584622,0.006958497604742"
6,"13,12,1581,-16","0.201687404665171,0.159441005506685,0.116564295345675,0.145945998570424"
7,"0,3,4,11,9,1170,14","0.159102699637832,0.065636523151247,0.041620503426295,0.051759623937327,0.174778524066478,0.044471901322161,0.047606391239219"
8,"5,10,1196,1191,9,11","0.106230724325667,0.055644993205575,0.002513777086596,0.057291186777356,0.104431757572691,0.024473176087489"
9,"7,11,8,1191,1170","0.174778524066478,0.155445581814189,0.104431757572691,0.048149805861154,0.037399415794828"
10,"5,1426,1196,8","0.112339660241461,0.090935109329996,0.050751300149617,0.055644993205575"
11,"5,8,9,7,4,186,120,152","0.044963786030968,0.024473176087489,0.155445581814189,0.051759623937327,0.160576551976114,0.084616658981921,0.068274093891373,0.00520795554517"
12,"2,1585,1581,6,13,3","0.179296120639395,0.053606901710699,0.059731027279744,0.159441005506685,0.117450370907311,0.158942391565225"
13,"6,-15,156,155,4,3,12","0.201687404665171,0.132037187075853,0.068675859325115,0.073709861161595,0.240370227160402,0.047960525054633,0.117450370907311"
14,"0,7,1170,1192,1164,1149,1195,1","0.081422043612162,0.047606391239219,0.026950741678302,0.037794761934239,0.011127439717664,0.029202147123412,0.05935165331497,0.134257045735935"
15,"47,95,84,16,20,21,19","0.010790099135512,0.00685148136804,0.03987314075649,0.020204548326782,0.003775444406489,0.012977037477553,0.036296586737698"
16,"15,84,85,17,18","0.020204548326782,0.013826730214689,0.025293677671941,0.006213642799022,0.008460436102358"
17,"18,16,85,34,77","0.01831654182904,0.006213642799022,0.011280884878892,0.023949307046913,0.027048676566255"
18,"20,16,17,77","0.024867485111560998,0.008460436102358,0.01831654182904,0.030526813831422"
19,"15,21,53,51,57,47","0.036296586737698,0.042492336637342,0.010368207002206,0.001689736465668,0.024366185333932,0.050302969644067"
20,"15,18,77,52,51,21","0.003775444406489,0.024867485111560998,0.01306262490204,0.026854593480969,0.000131685689724,0.027717312399406"
21,"15,20,51,53,19","0.012977037477553,0.027717312399406,0.012782450792931,0.017424842610716,0.042492336637342"
22,"86,42,79,80,48,88","0.057339937032742,0.011385105249886,0.015265560082615,0.003136136142315,0.032406481052516,0.023654540884378"
23,"58,24","0.035049655749029,0.040129263822738"
24,"58,56,97,27,29,58,23","0.004286736911742,0.055895608795988,0.002656740844965,0.004338805953324,0.029952165820982,0.008137447799669,0.040129263822738"
25,"76,26,35,56,54","0.026122729981053,0.056622680473945,0.029744530182501,0.028636193320805,0.063313512626499"
26,"-30,32,35,25,45,46","0.191598580748001,0.044716987893388,0.016620506918965,0.056622680473945,0.062233381272578,0.124018725831861"
27,"29,24,97,32,67,30","0.017211883602124,0.004338805953324,0.027783718301779,0.011755847945388,0.001794059934907,0.01916144970375"
28,"58,29,30,64,69,70,40","0.00918406188079,0.028165956268934,0.017103534531289,0.038151771958155,0.007477647345878,0.035177824225837,0.02687173522954"
29,"58,24,27,30,28","0.004203370586225,0.029952165820982,0.017211883602124,0.020381430189485,0.028165956268934"
30,"28,29,27,67,63,64","0.017103534531289,0.020381430189485,0.01916144970375,0.013092264701599,0.012570034819631,0.001696769967294"
31,"44,55,58,875,92","0.044225121368573,0.053626908505158,0.087835529158892,0.039738136381657,0.120986742239328"
32,"26,-29,62,67,27,97,35","0.044716987893388,0.035552391488576,0.022253875129563,0.029177339719467,0.011755847945388,0.027398729325035,0.022687699918489"
33,"72,91,88,87,61,91","0.026640490200644,0.036922972442349,0.014198697593715,0.057382983526508,0.050481331731369,0.042323743560871"
34,"44,92,38,82,77,17,85","0.003591359738813,0.057396773768412,0.045087034653893,0.063700798200184,0.02438848226633,0.023949307046913,0.048543688117458"
