OID_,ID,VTD,COUNTY,STATE,NAME,POPULATION,PSN,CountyName,Reg_Voters,PresBlue,PresRed,PresOther,SenBlue,SenRed,SenOther,Pct_Area,Pct_Perim,Cong2011,Sen2011,House2011,Cong2021,Sen2021,House2021,Shape_Leng,Shape_Area,SenPlan,HousePlan,HouseDrft2,CongDraft,CongRuoff,CongDrft2H,CongDrft3H
0,39526.000000000000000,45003000067,45003,45,N. Augusta No. 67,1676,69.000000000000000,AIKEN,1445.000000000000000,275.000000000000000,735.000000000000000,21.000000000000000,284.000000000000000,736.000000000000000,11.000000000000000,7.295137641500000,17.177936898199999,2,24,83,2,24,83,0.166794439136000,0.000708018690452,24,83,83,2,2,2,2
1,39552.000000000000000,45003000010,45003,45,Carolina Heights,2099,32.000000000000000,AIKEN,1414.000000000000000,476.000000000000000,278.000000000000000,10.000000000000000,481.000000000000000,272.000000000000000,10.000000000000000,12.822732067700001,19.550410256700001,2,24,83,2,24,84,0.193542871418000,0.001243948445460,24,83,83,2,2,2,2
2,39574.000000000000000,45003000029,45003,45,N. Augusta No. 29,2320,66.000000000000000,AIKEN,1886.000000000000000,463.000000000000000,669.000000000000000,39.000000000000000,467.000000000000000,688.000000000000000,17.000000000000000,2.600829516140000,8.005970767020001,2,24,83,2,24,83,0.079498246555300,0.000252329972104,24,83,83,2,2,2,2
3,39593.000000000000000,45003000055,45003,45,N. Augusta No. 55,1352,68.000000000000000,AIKEN,1169.000000000000000,236.000000000000000,517.000000000000000,7.000000000000000,230.000000000000000,522.000000000000000,9.000000000000000,1.323369941490000,5.055722555020000,2,24,83,2,24,83,0.050747161298600,0.000128408154228,24,83,83,2,2,2,2
4,39611.000000000000000,45003000028,45003,45,N. Augusta No. 28,1392,65.000000000000000,AIKEN,1327.000000000000000,257.000000000000000,618.000000000000000,17.000000000000000,250.000000000000000,633.000000000000000,11.000000000000000,1.476333086020000,5.627617607150000,2,24,83,2,24,83,0.055435595922300,0.000143265154655,24,83,83,2,2,2,2
5,39630.000000000000000,45003000025,45003,45,N. Augusta No. 25,2565,62.000000000000000,AIKEN,1920.000000000000000,425.000000000000000,583.000000000000000,22.000000000000000,441.000000000000000,572.000000000000000,10.000000000000000,4.340265472510000,10.677217805900000,2,24,83,2,24,83,0.102591059731000,0.000421074462954,24,83,83,2,2,2,2
6,39651.000000000000000,45003000080,45003,45,N. Augusta No. 80,1279,71.000000000000000,AIKEN,980.000000000000000,187.000000000000000,452.000000000000000,14.000000000000000,193.000000000000000,451.000000000000000,12.000000000000000,1.508750513300000,5.477371863690000,2,24,83,2,24,83,0.054822771305600,0.000146407897594,24,83,83,2,2,2,2
7,39668.000000000000000,45003000026,45003,45,N. Augusta No. 26,1559,63.000000000000000,AIKEN,1361.000000000000000,349.000000000000000,367.000000000000000,18.000000000000000,351.000000000000000,359.000000000000000,22.000000000000000,1.647180016310000,7.332304939110000,2,24,83,2,24,83,0.072463452593400,0.000159855496898,24,83,83,2,2,2,2
8,39689.000000000000000,45003000027,45003,45,N. Augusta No. 27,1927,64.000000000000000,AIKEN,1726.000000000000000,233.000000000000000,986.000000000000000,19.000000000000000,227.000000000000000,988.000000000000000,25.000000000000000,3.210294441130000,8.650143411689999,2,24,83,2,24,83,0.085077131482200,0.000311588111945,24,83,83,2,2,2,2
9,39708.000000000000000,45003000068,45003,45,N. Augusta No. 68,3300,70.000000000000000,AIKEN,2658.000000000000000,564.000000000000000,1323.000000000000000,29.000000000000000,580.000000000000000,1312.000000000000000,30.000000000000000,6.376746768400000,11.796627213600001,2,24,83,2,24,83,0.117419316040000,0.000619099860402,24,83,83,2,2,2,2
10,39728.000000000000000,45003000062,45003,45,Belvedere No. 62,1827,28.000000000000000,AIKEN,1470.000000000000000,475.000000000000000,413.000000000000000,10.000000000000000,487.000000000000000,396.000000000000000,16.000000000000000,6.797812685160000,16.215236645699999,2,24,83,2,24,83,0.162132531440000,0.000659911069378,24,83,83,2,2,2,2
11,39748.000000000000000,45003000054,45003,45,N. Augusta No. 54,2076,67.000000000000000,AIKEN,1386.000000000000000,406.000000000000000,347.000000000000000,16.000000000000000,425.000000000000000,328.000000000000000,13.000000000000000,3.126630515970000,8.185743948170000,2,24,83,2,24,83,0.078654953716300,0.000303390852442,24,83,83,2,2,2,2
12,39767.000000000000000,45003000044,45003,45,Belvedere No. 44,2152,27.000000000000000,AIKEN,1603.000000000000000,384.000000000000000,561.000000000000000,27.000000000000000,394.000000000000000,541.000000000000000,31.000000000000000,3.031077757940000,8.304127252270000,2,25,83,2,24,84,0.082045765441300,0.000294169433587,25,84,84,2,2,2,2
13,39788.000000000000000,45003000009,45003,45,Belvedere No. 9,2621,30.000000000000000,AIKEN,2085.000000000000000,490.000000000000000,540.000000000000000,25.000000000000000,510.000000000000000,522.000000000000000,21.000000000000000,3.240218722790000,8.582007393400000,2,24,83,2,24,83,0.084005483913000,0.000314483915805,24,83,83,2,2,2,2
14,39809.000000000000000,45003000074,45003,45,Belvedere No. 74,1083,29.000000000000000,AIKEN,806.000000000000000,158.000000000000000,302.000000000000000,7.000000000000000,160.000000000000000,296.000000000000000,10.000000000000000,4.161310326890000,10.361540807700001,2,25,83,2,24,83,0.099914806467800,0.000403945999588,25,83,83,2,2,2,2
15,39827.000000000000000,45003000081,45003,45,Hammond No. 81,1804,46.000000000000000,AIKEN,1185.000000000000000,252.000000000000000,489.000000000000000,9.000000000000000,260.000000000000000,479.000000000000000,16.000000000000000,65.760500214999993,59.599706976900002,2,24,84,2,24,84,0.591741295891000,0.006371671538690,24,84,84,2,2,2,2
16,39849.000000000000000,45003000017,45003,45,Jackson,2182,49.000000000000000,AIKEN,1743.000000000000000,250.000000000000000,876.000000000000000,6.000000000000000,257.000000000000000,859.000000000000000,20.000000000000000,99.850187610700004,61.625251546699999,2,24,84,2,24,84,0.608396745469000,0.009667884921220,24,84,84,2,2,2,2
17,39868.000000000000000,45003000008,45003,45,Beech Island,2354,26.000000000000000,AIKEN,1829.000000000000000,595.000000000000000,512.000000000000000,15.000000000000000,598.000000000000000,506.000000000000000,20.000000000000000,42.999310594800001,49.886366486100002,2,24,84,2,24,84,0.495810862593000,0.004169108463250,24,84,84,2,2,2,2
18,39889.000000000000000,45003000007,45003,45,Bath,1431,25.000000000000000,AIKEN,955.000000000000000,239.000000000000000,299.000000000000000,7.000000000000000,252.000000000000000,283.000000000000000,13.000000000000000,14.789332727300000,20.455224359199999,2,25,84,2,25,84,0.204439646585000,0.001434716609510,25,84,84,2,2,2,2
19,39908.000000000000000,45003000012,45003,45,Clearwater,1424,35.000000000000000,AIKEN,844.000000000000000,209.000000000000000,239.000000000000000,9.000000000000000,230.000000000000000,224.000000000000000,5.000000000000000,4.882467218090000,9.569132068029999,2,25,84,2,25,84,0.094975914461400,0.000473693056132,25,84,84,2,2,2,2
