PSN,unshared,area,pop,voteA,voteB,Cong2011,Sen2011,House2011,CongLWV,CongRuoff,SenLWV,HouseLWV,CongDraft,CongDrft2H,CongDrft3H,CongDrft2S,SenDraft,HouseDraft,HouseDrft2,HouseNAACP,county
0,0,37.33826217,2348,421,851,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
1,0,42.588373,2160,740,354,3,10,11,3,3,4,11,3,3,3,2,4,11,11,12,ABBEVILLE
2,0,73.35173615,2169,450,466,3,10,11,3,3,4,11,3,3,3,2,4,11,11,12,ABBEVILLE
3,0,54.86028584,1188,214,429,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
4,0,97.81808839,1725,187,744,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
5,0,38.87802505,730,88,298,3,4,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
6,0,135.21424,2347,680,503,3,10,11,3,3,4,11,3,3,3,2,4,11,11,12,ABBEVILLE
7,0,98.38579575,1483,159,615,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
8,0,40.8858898,851,77,333,3,4,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
9,0,92.01888593,2698,374,751,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
10,0,29.16599613,1021,149,322,3,4,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
11,0,102.6841998,1906,189,703,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
12,0,131.0769666,1008,148,447,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
13,0,257.2738889,1572,139,699,3,10,11,3,3,4,11,3,3,3,2,4,11,11,11,ABBEVILLE
14,0,93.86459131,1089,204,504,3,10,11,3,3,4,11,3,3,3,2,4,11,11,12,ABBEVILLE
15,0,4.383628056,1505,365,629,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
16,0,2.127871276,1717,598,186,2,26,82,2,2,24,82,2,2,2,2,24,82,82,82,AIKEN
17,0,4.0055599,3160,861,118,2,26,82,2,2,24,82,2,2,2,2,24,82,82,82,AIKEN
18,0,2.38900541,1087,372,66,2,26,82,2,2,24,82,2,2,2,2,24,82,82,82,AIKEN
19,0,6.690512556,1460,343,469,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
20,0,2.803001909,1616,548,347,2,26,81,2,2,24,82,2,2,2,2,24,81,81,86,AIKEN
21,0,5.196623112,1387,397,619,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
22,0,8.936954099,2136,531,1213,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
23,0,2.114091235,1341,248,461,2,25,84,2,2,25,83,2,2,2,2,25,84,84,84,AIKEN
24,0,8.38113956,1548,292,675,2,25,84,2,2,25,83,2,2,2,2,25,84,84,84,AIKEN
25,0,14.78933273,1431,252,283,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
26,0,42.99931059,2354,598,506,2,24,84,2,2,24,84,2,2,2,2,24,84,84,84,AIKEN
27,0,3.031077758,2152,394,541,2,25,83,2,2,24,84,2,2,2,2,25,84,84,84,AIKEN
28,0,6.797812685,1827,487,396,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
29,0,4.161310327,1083,160,296,2,25,83,2,2,24,83,2,2,2,2,25,83,83,83,AIKEN
30,0,3.240218723,2621,510,522,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
31,0,40.42177505,4804,847,1088,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
32,0,12.82273207,2099,481,272,2,24,83,2,2,24,84,2,2,2,2,24,83,83,84,AIKEN
33,0,16.91855388,1897,420,1043,2,24,86,2,2,24,81,2,2,2,2,24,86,86,86,AIKEN
34,0,32.20814831,2546,677,344,2,26,82,2,2,25,82,2,2,2,2,25,82,82,82,AIKEN
35,0,4.882467218,1424,230,224,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
36,0,6.7837334,2379,462,830,2,24,81,2,2,24,81,2,2,2,2,24,81,81,86,AIKEN
37,0,47.10508312,1878,381,592,2,24,86,2,2,24,86,2,2,2,2,24,86,86,86,AIKEN
38,0,100.5325282,2614,339,786,2,25,82,2,2,25,82,2,2,2,2,25,82,82,82,AIKEN
39,0,1.990924612,2036,322,832,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
40,0,3.158397158,1878,263,833,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
41,0,3.680079549,1461,288,747,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
42,0,5.054810713,1882,400,825,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
43,0,7.010626137,1678,179,502,2,24,84,2,2,24,84,2,2,2,2,24,84,84,84,AIKEN
44,0,9.161780747,1930,274,450,2,25,81,2,2,25,82,2,2,2,2,25,82,82,82,AIKEN
45,0,18.57688223,1613,379,572,2,24,84,2,2,24,84,2,2,2,2,24,84,84,84,AIKEN
46,0,65.76050021,1804,260,479,2,24,84,2,2,24,84,2,2,2,2,24,84,84,81,AIKEN
47,0,6.401501494,1463,312,502,2,24,81,2,2,24,84,2,2,2,2,24,81,81,81,AIKEN
48,0,3.127351723,1529,334,784,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
49,0,99.85018761,2182,257,859,2,24,84,2,2,24,84,2,2,2,2,24,84,84,81,AIKEN
50,0,10.81446522,2324,203,577,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
51,0,2.321380184,1521,443,477,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
52,0,3.433366019,1425,315,392,2,24,81,2,2,24,81,2,2,2,2,24,81,81,86,AIKEN
53,0,1.052194735,1492,246,263,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
54,0,7.779356386,1463,137,447,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
55,0,17.63703931,3282,629,1138,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
56,0,15.59416911,2999,453,1048,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
57,0,4.234109396,2408,529,916,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
58,0,38.91767864,3058,589,852,2,25,84,2,2,25,83,2,2,2,2,25,84,84,84,AIKEN
59,0,90.76422328,1868,334,453,2,26,86,2,2,25,86,2,2,2,2,25,86,86,86,AIKEN
60,0,17.69198921,2507,541,873,2,24,86,2,2,24,86,2,2,2,2,24,81,81,86,AIKEN
61,0,59.283245,1438,266,469,2,24,86,2,2,24,86,2,2,2,2,24,86,86,86,AIKEN
62,0,4.340265473,2565,441,572,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
63,0,1.647180016,1559,351,359,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
64,0,3.210294441,1927,227,988,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
65,0,1.476333086,1392,250,633,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
66,0,2.600829516,2320,467,688,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
67,0,3.126630516,2076,425,328,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
68,0,1.323369941,1352,230,522,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
69,0,7.295137642,1676,284,736,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
70,0,6.376746768,3300,580,1312,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
71,0,1.508750513,1279,193,451,2,24,83,2,2,24,83,2,2,2,2,24,83,83,83,AIKEN
72,0,10.75839268,2247,560,549,2,24,86,2,2,24,81,2,2,2,2,24,86,86,81,AIKEN
73,0,130.8382007,1315,144,422,2,26,86,2,2,25,86,2,2,2,2,40,86,86,86,AIKEN
74,0,152.404966,1804,180,563,2,26,86,2,2,25,86,2,2,2,2,25,86,86,86,AIKEN
75,0,102.5376039,1242,191,419,2,26,86,2,2,25,86,2,2,2,2,40,86,86,86,AIKEN
76,0,34.44006493,2668,345,992,2,24,84,2,2,24,81,2,2,2,2,24,84,84,84,AIKEN
77,0,20.26218498,2311,299,560,2,24,86,2,2,24,86,2,2,2,2,24,86,86,86,AIKEN
78,0,77.6330116,888,265,233,2,26,86,2,2,25,86,2,2,2,2,40,86,86,86,AIKEN
79,0,1.392680974,1597,375,582,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
80,0,1.449945485,1571,278,405,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
81,0,69.13866114,970,170,353,2,24,86,2,2,24,86,2,2,2,2,24,86,86,86,AIKEN
