GEOID20,District
450479707012035,3
450479707012045,3
450479707012046,3
450479707012047,3
450479707012050,3
450479707012051,3
450479707012052,3
450479707023027,3
450479710001000,3
450479710001001,3
450479710001002,3
450479710001003,3
450479710001004,3
450479710001015,3
450479710001016,3
450479710001017,3
450479710001018,3
450479710001019,3
450479710001020,3
450479710001021,3
450479710001022,3
450479710001023,3
450479710001024,3
450479710001025,3
450479710001026,3
450479710001027,3
450479710001028,3
450479710001029,3
450479710001030,3
450479710001031,3
450479710001046,3
450479710001049,3
450479710001050,3
450479710001051,3
450479710002021,3
450479710002022,3
450479710002023,3
450479710002024,3
450479710002025,3
450479710002026,3
450479710002027,3
450479710002028,3
450479710002029,3
450479710002030,3
450479710002031,3
450479710002032,3
450479710002033,3
450479710002034,3
450479710002035,3
450479710002036,3
450479710002037,3
450479710002038,3
450479710002039,3
450479710002040,3
450479710002041,3
450479710002042,3
450479710002043,3
450479710002044,3
450479710002045,3
450479710002046,3
450479710002047,3
450479710002048,3
450479710002049,3
450479710002052,3
450479710002053,3
450479710002054,3
450479710002056,3
450479710002057,3
450479710002058,3
450479710002059,3
450479710002060,3
450479710002061,3
450479710002062,3
450479710002063,3
450479710002064,3
450479710002065,3
450479710002066,3
450479710002067,3
450479710002068,3
450479710002069,3
450479710002071,3
450479710002072,3
450479708022070,3
450479709001000,3
450479709001001,3
450479709001002,3
450479709001003,3
450479709001004,3
450479709001005,3
450479709001006,3
450479709001007,3
450479709001008,3
450479709001009,3
450479709001010,3
450479709001011,3
450479709001012,3
450479709001013,3
450479709001014,3
450479709001015,3
450479709001016,3
450479709001017,3
450479709001018,3
450479709001019,3
450479709001020,3
450479709001021,3
450479709001022,3
450479709001023,3
450479709001024,3
450479709001025,3
450479709001026,3
450479709001027,3
450479709001028,3
450479709001029,3
450479709001030,3
450479709001031,3
450479709001032,3
450479709001033,3
450479709001034,3
450479709001035,3
450479709001036,3
450479709001037,3
450479709001038,3
450479709001039,3
450479709001040,3
450479709001041,3
450479709001042,3
450479709001043,3
450479709001044,3
450479709001045,3
450479709001046,3
450479709001047,3
450479709001048,3
450479709001049,3
450479709001050,3
450479709001051,3
450479709001052,3
450479709001053,3
450479709001054,3
450479709001055,3
450479709002026,3
450479709002051,3
450479710001039,3
450479710001040,3
450479710002003,3
450479710002004,3
450479710002006,3
450479710002007,3
450479710002008,3
450479710002009,3
450479710002010,3
450479710002013,3
450479710002014,3
450479710002015,3
450479710002016,3
450479710002017,3
450479710002018,3
450479710002019,3
450479710002020,3
450479710002050,3
450479710002051,3
450479710002055,3
450479710002070,3
450479706013009,3
450479706013010,3
450479706013011,3
450479706013017,3
450479706013018,3
450479706013019,3
450479707023019,3
450479707023020,3
450479707023021,3
450479707023022,3
450479707023023,3
450479707023028,3
450479707023029,3
450479707023030,3
450479707023031,3
450479707023032,3
450479707023033,3
450479707023034,3
450479707023035,3
450479707023036,3
450479707023037,3
450479707023038,3
450479707023039,3
450479707023040,3
450479710001005,3
450479710001006,3
450479710001007,3
450479710001008,3
450479710001009,3
450479710001010,3
450479710001011,3
450479710001012,3
450479710001013,3
450479710001014,3
450479710001032,3
450479710001033,3
450479710001034,3
450479710001035,3
450479710001036,3
450479710001037,3
450479710001038,3
450479710001041,3
450479710001042,3
450479710001043,3
450479710001044,3
450479710001045,3
450479710001047,3
450479710001048,3
450479710002002,3
450479710002005,3
450479710002011,3
450479710002012,3
450379705021039,2
450379705021040,2
450379705022001,2
450379705022002,2
450379705022004,2
450379705022005,2
450379705022006,2
450379705022007,2
450379705022008,2
450379705022009,2
450379705022010,2
450379705022011,2
450379705022012,2
450379705022013,2
450379705022014,2
450379705022015,2
450379705022016,2
450379705022017,2
450379705022018,2
450379705022019,2
450379705022020,2
450379705022021,2
450379705022022,2
450379705022023,2
450379705022024,2
450379705022025,2
450379705022026,2
450379705022027,2
450379705022028,2
450379705022029,2
450379705022030,2
450379705022031,2
450379705022032,2
450379705022033,2
450379705022034,2
450379705022035,2
450379705022036,2
450379705022037,2
450379705022038,2
450379705022039,2
450379705022040,2
450379705022041,2
450379705022042,2
450379705022043,2
450379705022044,2
450379705022045,2
450379705022046,2
450379705022047,2
450379705022048,2
450379705022049,2
450379705022050,2
450379705022051,2
450379705022052,2
450379705022053,2
450379705023005,2
450379705023006,2
450379705023007,2
450379705023008,2
450379705023009,2
450379705023010,2
450379705023011,2
450379705023012,2
450379705023013,2
450379705023014,2
450379705023015,2
450379705023016,2
450379705023017,2
450379705023018,2
450379705023019,2
450379705023020,2
450379705023021,2
450379705023022,2
450379705023023,2
450379705023024,2
450379705023025,2
450379705023026,2
450379705023027,2
450379705023028,2
450379705023029,2
450379705011001,2
450379705011004,2
450379705011005,2
450379705011006,2
450379705011007,2
450379705011008,2
450379705011009,2
450379705011010,2
450379705011011,2
450379705011012,2
450379705011013,2
450379705011014,2
450379705011015,2
450379705011016,2
450379705011017,2
450379705011018,2
450379705011019,2
450379705011020,2
450379705011021,2
450379705011022,2
450379705011023,2
450379705011024,2
450379705011025,2
450379705011026,2
450379705011027,2
450379705011028,2
450379705011029,2
450379705011030,2
450379705011031,2
450379705011032,2
450379705011033,2
450379705011034,2
450379705011035,2
450379705011036,2
450379705011037,2
450379705011038,2
450379705011039,2
450379705011040,2
450379705011041,2
450379705011042,2
450379705011043,2
450379705013000,2
450379705013001,2
450379705013002,2
450379705013003,2
450379705013004,2
450379705013005,2
450379705013007,2
450379705013008,2
450379705013009,2
450379705013010,2
450379705013011,2
450379705013012,2
450379705013013,2
450379705013015,2
450379705013016,2
450379705013017,2
450379705013018,2
450379705013019,2
450379705013020,2
450379705013021,2
450379705013022,2
